roi_id,peak_number,frame_index,time_s,dff_value,prominence,left_base,right_base,x0,y0,w,h,x1,y1
3,70,3704,185.2,0.06525363028049469,0.05850284142758384,3679,3740,61,294,37,32,98,326
3,71,3774,188.7,0.08019974827766418,0.10719955715469988,3389,3822,61,294,37,32,98,326
3,72,3832,191.6,0.05251409858465195,0.061521907552890776,3822,3840,61,294,37,32,98,326
3,73,3875,193.75,0.06437962502241135,0.06412205085237627,3822,3889,61,294,37,32,98,326
3,74,3900,195.0,0.08851350098848343,0.09485763853736451,3822,4000,61,294,37,32,98,326
3,75,3987,199.35,0.07306641340255737,0.07077278532084022,3964,4000,61,294,37,32,98,326
4,1,20,1.0,0.12181101739406586,0.092953700682314,4,739,216,408,30,38,246,446
4,2,63,3.15,0.11088110506534576,0.06931717231454229,39,188,216,408,30,38,246,446
4,3,156,7.8,0.07182451337575912,0.07105841872648218,102,188,216,408,30,38,246,446
4,4,211,10.55,0.10740794986486435,0.11205348752541461,188,739,216,408,30,38,246,446
4,5,254,12.7,0.05403129756450653,0.04307291906842815,227,314,216,408,30,38,246,446
4,6,348,17.4,0.08505575358867645,0.05290471003645274,314,355,216,408,30,38,246,446
4,7,366,18.3,0.1113869696855545,0.09572832308093851,314,739,216,408,30,38,246,446
4,8,422,21.1,0.07745766639709473,0.07292763555406687,385,739,216,408,30,38,246,446
4,9,471,23.55,0.0551791712641716,0.05127962611488111,436,485,216,408,30,38,246,446
4,10,562,28.1,0.048628948628902435,0.04797899092611116,485,636,216,408,30,38,246,446
4,11,701,35.05,0.06417664140462875,0.06054491155442795,485,739,216,408,30,38,246,446
4,12,732,36.6,0.0476529560983181,0.04608277710663329,728,739,216,408,30,38,246,446
4,13,748,37.4,0.14522685110569,0.17269788955634213,739,784,216,408,30,38,246,446
4,14,758,37.9,0.1314510554075241,0.14066786186602018,754,784,216,408,30,38,246,446
4,15,770,38.5,0.11325705051422119,0.10550862427323876,761,774,216,408,30,38,246,446
4,16,778,38.9,0.14252538979053497,0.11463400362582778,774,784,216,408,30,38,246,446
4,17,790,39.5,0.15877895057201385,0.18809394822194897,739,1744,216,408,30,38,246,446
4,18,821,41.05,0.11961792409420013,0.12387456797922305,805,1558,216,408,30,38,246,446
4,19,833,41.65,0.11131522804498672,0.08093767344758057,827,837,216,408,30,38,246,446
4,20,841,42.05,0.06607148796319962,0.04723005079138275,837,944,216,408,30,38,246,446
4,21,965,48.25,0.107131227850914,0.11363764585443342,827,1558,216,408,30,38,246,446
4,22,1007,50.35,0.051485542207956314,0.0439446527957444,1001,1019,216,408,30,38,246,446
4,23,1035,51.75,0.04081234335899353,0.05282569058271298,1019,1046,216,408,30,38,246,446
4,24,1074,53.7,0.061190951615571976,0.06184625686201521,1046,1127,216,408,30,38,246,446
4,25,1193,59.65,0.06443823128938675,0.04972165875222416,1127,1212,216,408,30,38,246,446
4,26,1258,62.9,0.09545840322971344,0.09624734031182872,1046,1558,216,408,30,38,246,446
4,27,1357,67.85,0.07131483405828476,0.07645097793541666,1284,1558,216,408,30,38,246,446
4,28,1402,70.1,0.059624083340168,0.04831685161491432,1380,1444,216,408,30,38,246,446
4,29,1483,74.15,0.048686884343624115,0.07269636815481134,1444,1558,216,408,30,38,246,446
4,30,1545,77.25,0.047492217272520065,0.06186957807593611,1526,1558,216,408,30,38,246,446
4,31,1567,78.35,0.05692443996667862,0.060054915010030414,1558,1600,216,408,30,38,246,446
4,32,1593,79.65,0.07017368823289871,0.054334424605881795,1586,1600,216,408,30,38,246,446
4,33,1623,81.15,0.09025435894727707,0.07122615175466605,1558,1649,216,408,30,38,246,446
4,34,1666,83.3,0.12152007222175598,0.10293032319438639,1558,1726,216,408,30,38,246,446
4,35,1689,84.45,0.08309847861528397,0.04749573715407522,1684,1694,216,408,30,38,246,446
4,36,1704,85.2,0.09889964759349823,0.06293989921392837,1684,1710,216,408,30,38,246,446
